state,code,per pupil spending,prison pop,prison cost (thousands),per prisoner cost
Alabama,AL,8755,26758,462507,17285
Alaska,AK,18175,,,
Arizona,AZ,7208,40458,1003553,24805
Arkansas,AR,9394,13369,326081,24391
California,CA,9220,167276,7932388,47421
Colorado,CO,8647,19958,606208,30374
Connecticut,CT,16631,18492,929438,50262
Delaware,DE,13833,6528,215210,32967
Dist. of Columbia,DC,17953,,,
Florida,FL,8433,101324,2082531,20553
Georgia,GA,9099,53704,1129858,21039
Hawaii,HI,11823,,,
Idaho,ID,6791,7402,144669,19545
Illinois,IL,12288,45551,1743153,38268
Indiana,IN,9566,38417,569451,14823
Iowa,IA,10313,8384,276039,32925
Kansas,KS,9828,8689,158198,18207
Kentucky,KY,9316,21347,311727,14603
Louisiana,LA,10490,39938,698363,17486
Maine,ME,12147,2167,100558,46404
Maryland,MD,13829,21786,836223,38383
Massachusetts,MA,14515,,,
Michigan,MI,10948,45096,1267954,28117
Minnesota,MN,11089,9557,395319,41364
Mississippi,MS,8130,,,
Missouri,MO,9597,30447,680487,22350
Montana,MT,10625,2513,75959,30227
Nebraska,NE,11579,4542,163284,35950
Nevada,NV,8339,13696,282903,20656
New Hampshire,NH,13721,2389,81417,34080
New Jersey,NJ,17572,25822,1416727,54865
New Mexico,NM,9012,,,
New York,NY,19818,59237,3558711,60076
North Carolina,NC,8390,40203,1204667,29965
North Dakota,ND,11980,1479,58065,39271
Ohio,OH,11197,50960,1315477,25814
Oklahoma,OK,7672,24549,453356,18467
Oregon,OR,9543,,,
Pennsylvania,PA,13864,48543,2055269,42339
Rhode Island,RI,14415,3502,172063,49133
South Carolina,SC,9514,,,
South Dakota,SD,8470,,,
Tennessee,TN,8208,,,
Texas,TX,8299,154576,3306358,21390
Utah,UT,6555,6338,186013,29349
Vermont,VT,16377,2248,111280,49502
Virginia,VA,10960,29792,748642,25129
Washington,WA,9672,17050,799590,46897
West Virginia,WV,11132,6385,169190,26498
Wisconsin,WI,11071,23015,874421,37994
Wyoming,WY,15700,,,
